n,t_ms,temp_C,pressure_hPa,altitude_m,max_altitude_m,descent_count,teensy_trigger,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,humidity_pct,sound_db,pitch_deg,roll_deg,heading_deg
58,39658,32.21,951.49,-0.91,0.12,0,0,-0.0302,-0.0857,0.9916,-0.31,0.18,-0.18,119,105,37,,,1.738,-4.9396,318.1653
59,40158,32.23,951.48,-0.88,0.12,0,0,-0.0302,-0.0856,0.9907,-0.24,0.18,-0.24,120,106,34,,,1.7396,-4.9383,318.1861
60,40658,32.24,951.47,-0.73,0.12,0,0,-0.03,-0.0851,0.9927,-0.24,0.18,-0.18,121,106,37,,,1.7247,-4.8997,318.376
61,41158,32.26,951.46,-0.72,0.12,0,0,-0.0305,-0.0858,0.9906,-0.18,0.12,-0.18,119,108,30,,,1.757,-4.9503,317.4909
62,41658,32.27,951.46,-0.66,0.12,0,0,-0.0303,-0.0864,0.9926,-0.24,0.12,-0.12,121,107,33,,,1.7419,-4.9747,318.1726
63,42158,32.21,951.46,-0.7,0.12,0,0,-0.0295,-0.0859,0.9904,-0.24,0.18,-0.24,119,107,30,,,1.6997,-4.957,317.7413
64,42658,32.23,951.45,-0.58,0.12,0,0,-0.0303,-0.085,0.9917,-0.18,0.18,-0.24,119,107,32,,,1.7437,-4.8989,317.7225
65,43158,32.24,951.46,-0.64,0.12,0,0,-0.0291,-0.0859,0.9913,-0.31,0.06,-0.18,120,108,34,,,1.6752,-4.9525,317.6538
66,43658,32.26,951.41,-0.2,0.12,0,0,-0.0303,-0.0854,0.9911,-0.24,0.12,-0.12,120,106,34,,,1.7446,-4.9248,318.1883
67,44158,32.34,951.46,-0.69,0.12,0,0,-0.0309,-0.0857,0.9911,-0.31,0.18,-0.12,119,104,36,,,1.7791,-4.942,318.4533
68,44658,32.34,951.48,-0.89,0.12,0,0,-0.0306,-0.0856,0.9906,-0.18,0.18,-0.24,122,107,34,,,1.7628,-4.9388,318.397
69,45158,32.35,951.47,-0.76,0.12,0,0,-0.0294,-0.0848,0.9916,-0.24,0.18,-0.18,120,105,38,,,1.6921,-4.8879,318.3836
70,45658,32.37,951.46,-0.67,0.12,0,0,-0.0308,-0.0861,0.9899,-0.31,0.18,-0.18,120,108,36,,,1.7754,-4.971,317.6391
71,46158,32.37,951.46,-0.71,0.12,0,0,-0.0314,-0.0852,0.9916,-0.18,0.12,-0.24,120,106,39,,,1.8071,-4.9109,318.1251
72,46658,32.4,951.43,-0.39,0.12,0,0,-0.0302,-0.0854,0.9913,-0.24,0.12,-0.18,121,108,36,,,1.7385,-4.9238,317.8725
73,47158,32.4,951.47,-0.73,0.12,0,0,-0.0311,-0.0858,0.9915,-0.18,0.12,-0.24,121,103,38,,,1.7899,-4.9458,319.1604
74,47658,32.42,951.46,-0.68,0.12,0,0,-0.0314,-0.0865,0.9908,-0.18,0.18,-0.24,117,106,31,,,1.8083,-4.9895,317.5216
75,48158,32.44,951.45,-0.56,0.12,0,0,-0.0304,-0.0859,0.9912,-0.18,0.12,-0.24,121,106,34,,,1.7501,-4.953,318.4214
76,48658,32.44,951.46,-0.73,0.12,0,0,-0.0306,-0.0851,0.9905,-0.24,0.18,-0.18,120,105,30,,,1.763,-4.9106,318.5181
77,49158,32.45,951.43,-0.41,0.12,0,0,-0.0298,-0.0851,0.9911,-0.18,0.12,-0.18,120,105,34,,,1.7159,-4.9076,318.4483
78,49658,32.46,951.46,-0.66,0.12,0,0,-0.0312,-0.0861,0.9913,-0.24,0.18,-0.18,122,109,35,,,1.796,-4.964,317.8705
79,50158,32.48,951.46,-0.65,0.12,0,0,-0.0289,-0.085,0.9905,-0.24,0.12,-0.18,124,106,30,,,1.6651,-4.9048,319.1667
80,50658,32.49,951.44,-0.52,0.12,0,0,-0.0302,-0.0848,0.9912,-0.18,0.06,-0.12,120,107,34,,,1.7388,-4.8899,317.9296
81,51158,32.51,951.41,-0.26,0.12,0,0,-0.0304,-0.0854,0.9902,-0.24,0.12,-0.18,122,108,33,,,1.752,-4.9293,318.1527
82,51658,32.52,951.42,-0.36,0.12,0,0,-0.0306,-0.0854,0.991,-0.24,0.18,-0.18,121,106,36,,,1.7621,-4.9253,318.3954
83,52158,32.53,951.43,-0.39,0.12,0,0,-0.0304,-0.0859,0.9905,-0.18,0.12,-0.12,118,108,33,,,1.7514,-4.9565,317.2046
84,52658,32.53,951.49,-0.99,0.12,0,0,-0.0302,-0.0857,0.9911,-0.24,0.18,-0.18,121,106,38,,,1.7388,-4.942,318.3584
85,53158,32.55,951.43,-0.38,0.12,0,0,-0.0305,-0.0858,0.9906,-0.18,0.12,-0.18,121,105,36,,,1.757,-4.9503,318.6543
86,53658,32.58,951.48,-0.87,0.12,0,0,-0.0305,-0.0852,0.9911,-0.24,0.18,-0.12,120,103,31,,,1.7562,-4.9134,319.0353
87,54158,32.58,951.43,-0.42,0.12,0,0,-0.0303,-0.0858,0.9911,-0.31,0.18,-0.18,122,105,33,,,1.7446,-4.9478,318.9321
88,54658,32.59,951.46,-0.67,0.12,0,0,-0.0303,-0.0839,0.9908,-0.24,0.18,-0.24,122,105,35,,,1.7454,-4.8402,318.9117
89,55158,32.62,951.47,-0.78,0.12,0,0,-0.0305,-0.0857,0.9911,-0.18,0.18,-0.24,120,106,34,,,1.7561,-4.942,318.1886
90,55658,32.58,951.45,-0.55,0.12,0,0,-0.0302,-0.085,0.9907,-0.24,0.12,-0.18,122,108,33,,,1.7396,-4.9038,318.153
91,56158,32.59,951.42,-0.37,0.12,0,0,-0.0309,-0.0847,0.9922,-0.18,0.18,-0.24,120,105,35,,,1.7773,-4.8793,318.4464
92,56658,32.62,951.44,-0.49,0.12,0,0,-0.0304,-0.0859,0.9907,-0.18,0.18,-0.24,122,108,30,,,1.751,-4.9555,318.196
93,57158,32.64,951.44,-0.53,0.12,0,0,-0.0309,-0.0853,0.9913,-0.24,0.12,-0.24,121,105,31,,,1.7788,-4.9181,318.7391
96,58658,32.71,951.5,-1.02,0.12,0,0,-0.0309,-0.0851,0.9902,-0.31,0.12,-0.31,122,107,33,,,1.7808,-4.9121,318.4178
97,59158,32.71,951.48,-0.89,0.12,0,0,-0.0303,-0.0848,0.9911,-0.24,0.18,-0.24,121,105,37,,,1.7447,-4.8904,318.6431
98,59658,32.74,951.45,-0.63,0.12,0,0,-0.0299,-0.0853,0.9912,-0.24,0.24,-0.24,122,106,39,,,1.7215,-4.9186,318.5749
99,60158,32.75,951.47,-0.76,0.12,0,0,-0.0304,-0.0845,0.9901,-0.18,0.12,-0.24,121,106,39,,,1.7523,-4.8781,318.3531
100,60658,32.78,951.47,-0.78,0.12,0,0,-0.0294,-0.0847,0.9906,-0.24,0.18,-0.18,120,105,38,,,1.6938,-4.8871,318.384
101,61158,32.79,951.48,-0.86,0.12,0,0,-0.0299,-0.0847,0.9916,-0.18,0.18,-0.31,121,106,36,,,1.7209,-4.8822,318.3925
103,62158,32.81,951.48,-0.86,0.12,0,0,-0.0303,-0.0847,0.9911,-0.24,0.12,-0.24,122,108,37,,,1.7448,-4.8847,318.0958
104,62658,32.82,951.46,-0.7,0.12,0,0,-0.0303,-0.0851,0.9908,-0.18,0.18,-0.24,123,105,35,,,1.7452,-4.9091,319.1348
105,63158,32.85,951.48,-0.84,0.12,0,0,-0.0306,-0.0845,0.9901,-0.18,0.12,-0.24,119,106,37,,,1.7638,-4.8781,317.914
106,63658,32.85,951.48,-0.85,0.12,0,0,-0.0309,-0.0851,0.99,-0.31,0.12,-0.18,121,108,36,,,1.7812,-4.913,317.8812
107,64158,32.86,951.43,-0.47,0.12,0,0,-0.0306,-0.0831,0.9902,-0.18,0.18,-0.24,118,104,36,,,1.7638,-4.7972,318.2278
108,64658,32.89,951.45,-0.63,0.12,0,0,-0.0308,-0.0841,0.9901,-0.24,0.18,-0.12,119,107,31,,,1.7754,-4.8551,317.7463
