n,t_ms,temp_C,pressure_hPa,altitude_m,max_altitude_m,descent_count,teensy_trigger,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,humidity_pct,sound_db,pitch_deg,roll_deg,heading_deg,t_s,dt_s,pitch_logged_deg,roll_logged_deg,pressure_ref_hpa,altitude_baro_m,altitude_logged_m,a_lin_ms2,altitude_fused_m,v_fused_ms,v_baro_ms,a_baro_ms2,pos_x_m,pos_y_m,pos_z_m,yaw_deg
0,10677,33.28,951.36,-0.14,-0.14,0,0,0.0659,0.0328,0.9944,-1.46,0.55,-1.1,69,68,54,,,-3.7895000000000003,1.8892,314.6701,0.0,0.5,-3.7895,1.8892,951.34,0.0,0.0,0.1105469319774387,0.0,0.35468722626833316,0.35468722626833316,-0.8867158016179699,0.0,0.0,0.0,314.6701
1,11177,33.28,951.34,-0.01,-0.01,0,0,0.0642,0.0448,1.0011,-0.18,-0.12,0.73,66,69,56,,,-3.6657,2.5623,313.2356,0.5,0.5,-3.6657,2.5623,951.34,0.17734361313416658,0.13,0.18097239444941,0.17734361313416658,0.2672253908151415,-0.0886706745406518,-0.5320308394024997,0.0,0.0,0.17734361313416658,313.2356
2,11677,33.29,951.37,-0.22,-0.01,0,0,0.0759,0.0295,0.998,0.67,2.38,-2.56,68,68,54,,,-4.3472,1.6931,313.8907,1.0,0.5,-4.3472,1.6931,951.34,-0.0886706745406518,-0.07999999999999999,0.13937747814413265,-0.0886706745406518,0.16549488221341635,-0.17734361313416658,0.3546849622154702,0.0,0.0,-0.0886706745406518,313.8907
3,12177,33.22,951.36,-0.16,-0.01,0,0,0.0774,0.0336,0.9952,-0.37,0.06,0.67,66,68,54,,,-4.4446,1.9337,313.0449,1.5,0.5,-4.4446,1.9337,951.34,0.0,-0.01999999999999999,0.11211459041328664,0.0,0.23637288083831257,0.2660142876748184,0.6207083063379781,0.0,0.0,0.0,313.0449
4,12677,33.22,951.34,0.05,0.05,0,0,0.0735,0.0325,0.9979,-1.83,-0.18,0.06,68,67,54,,,-4.2103,1.8654000000000002,314.468,2.0,0.5,-4.2103,1.8654,951.34,0.17734361313416658,0.19,0.14071980222891917,0.17734361313416658,0.3522767523697853,0.44336469320381156,-0.44335790080898496,0.0,0.0,0.17734361313416658,314.468
5,13177,33.22,951.31,0.28,0.28,0,0,0.0586,0.0344,0.9907,-0.98,-0.18,0.92,68,68,56,,,-3.3831,1.9887,314.4277,2.5,0.5,-3.3831,1.9887,951.34,0.44336469320381156,0.42000000000000004,0.0779031708809663,0.44336469320381156,0.20170435416212346,-0.17734361313416658,-0.6207128346454904,0.0,0.0,0.44336469320381156,314.4277
6,13677,33.24,951.36,-0.17,0.28,0,0,0.0697,0.0385,0.9873,-0.31,0.18,-1.22,69,68,52,,,-4.0351,2.2331,314.7513,3.0,0.5,-4.0351,2.2331,951.34,0.0,-0.03,0.04070510656209153,0.0,0.08892189114821988,-0.17734814144167887,0.35468722626833316,0.0,0.0,0.0,314.7513
7,14177,33.27,951.33,0.11,0.28,0,0,0.0823,0.0304,0.9979,0.06,2.38,-0.24,68,69,51,,,-4.7125,1.7449,313.3932,3.5,0.5,-4.7125,1.7449,951.34,0.2660165517621327,0.25,0.13435019795184366,0.2660165517621327,0.16317919779415,0.17734361313416658,0.17734814144167887,0.0,0.0,0.2660165517621327,313.3932
8,14677,33.29,951.34,0.04,0.28,0,0,0.1234,-0.0077,0.9879,16.24,6.59,40.53,67,63,54,,,-7.1198,-0.4466,313.2854,4.0,0.5,-7.1198,-0.4466,951.34,0.17734361313416658,0.18000000000000002,-0.013414905123947551,0.17734361313416658,0.10431449682145082,0.0,3.0188421451526892e-06,0.0,0.0,0.17734361313416658,313.2854
9,15177,33.28,951.33,0.11,0.28,0,0,0.1313,0.0061,0.9557,-3.54,-3.6,0.79,63,57,54,,,-7.8225,0.3657,314.2106,4.5,0.5,-7.8225,0.3657,951.34,0.2660165517621327,0.25,-0.3416018210917709,0.2660165517621327,0.014791268175814151,0.17734663197631173,-0.44335714617227295,0.0,0.0,0.2660165517621327,314.21060000000006
